text,label
등 에 털 이 등 중간 부터 나 기 시작 해서 뒷 통수 까지 이어져 있 는데 이거 는 어찌 해야 되 요,fear
오늘 손님 들 왜 케 없 지,fear
중국 한테 도 지 면 진짜 개망신 이 야,fear
정말 인간 이 라구 다 같 은 인간 은 아닌 듯,fear
영상 복구 하 면 누군가 는 그걸 본다는 건데 내 가 전 여친 이 면 그 상황 이 더 끔찍 할 듯,fear
기상 캐스터 들 옷차림 이 다 홀 복 수준,fear
레알 남자 랑 도 눈 을 대 고 는 오래 동안 못 있 겠 음,fear
나 우리 집 주소 아직 도 모름,fear
인사 도 못하 겠 음,fear
그런 거 시키 지 마세요,fear
나 같 으면 노트 은 못쓴다,fear
성기 크기 가 너무 작 아 고민 입니다,fear
저 승마 살 이 장난 아니 에요,fear
쟤 네 들 웃기 네 맘 에 드 는 결과 를 얻 을 때 까지 계속 투표 할 기세 네,fear
억억 뭐 억,fear
식칼 도 없 는데 왠 진 검 승부,fear
교도소 에서 골목 대장 이 되 버렸 네,fear
우리 애 아빠 는 그 스위치 어디 다 둿을까요,fear
난해 하 다,fear
진짜 어이없 네,fear
어 이 가 없 네,fear
아들 은 비싼 연봉 받 고 뭐한 거 야,fear
차태현 은 다 알 고 있 었 던 것 같 은데 진심 은 무슨,fear
이건 또 뭔 개소리,fear
그럼 저 기계 는 누가 만들 어 줌,fear
어깨 툭 치 는데 사과 쪼개지 는 소리 가 나 는 거 지,fear
정용기 의원 이 실수 로 반대 방향 으로 들어갔 군,fear
흥 민 이 는 원 톱 가 면 제발 이것 만 은,fear
배터리 바꾼 게 터지 는 거 면 원인 이 뭐 지 ㅡㅡ,fear
물론 시즌 말 에 가 서 떨어질 꺼 라 예상 은 했 다만 스 크 는 나름 대로 잘 나가 다가 왜 성적 이 곤두박 질 칠 겨,fear
저런 중국 과 친하 게 지내 겠 다는 더불 어 민주당 ㅋㅋㅋ ㅋㅋㅋ,fear
헉 오마 베,fear
본인 들 은 정말 충격 적 이 겠 다 ㅠㅜ,fear
마티즈 광고 인 줄 알 았 네,fear
쭝궈이 대단 하 다 예전 의 짱꼴라 가 아녀,fear
맨 유동 료 중 에 가장 저 평가 됐 다고 생각 하 는 선수 는 누구 인가 루니 박지성 이 다,fear
회 정도 해야 왕조 지 세 네 번 으로 무슨 왕조 냐,fear
이 노인 네 는 참,fear
뭔 소리 기아 대권 도 전하 려면 아직 깜깜 멀 었 다 ㅡㅡ,fear
정말 떳떳 하 다면 왜 이리 ooo 떨 까 지발 저린 모습 이 네,fear
받아들인 삼성 은 뭐 지,fear
여성부 예산 보다 적 넼ㅋㅋ,fear
대놓고 싸우 자는 건가 ㅡㅡ,fear
은 약한 거 아니 냐 지금 이용찬 정찬헌 정성훈 손영민 걸린 거 보 면 싸그리 다 취소 수준 인데,fear
공중 파 에서 시청 률 잘 나오 려면 시도 때 도 없이 직업 불문 하 고 연애질 하 면 됨,fear
한 골 도 못 넣 은 게 오로지 선수 개개인 의 자질 문제 인데 또 감독 탓 오 지 네 ㅎㅎ,fear
클라리넷 은 알 아도 클라라 는 첨 들 어 봄 뭐 하 는 거 에요,fear
김종 차관 은 이름값 너무 제대로 해 버렸 네,fear
순 실 이 가 뒤 봐 줬 는데 우리 나라 에서 마틴 이 가 못 먹 으면 그건 바보 지,fear
서울 대학 병원 전문의 가 참 무섭 군,fear
참나 야메 라니 기 가 막힌다,fear
빛 은 항상 켜 두 어야 하 는 건가,fear
역대 급 거품 실력 에 비해 원 클럽 맨 하나 로 과대 포장 된 얘 보다 스콜스 램 파드 가 훨씬 커리어 가 압도 적 인데,fear
담배 보다 안 해롭 고 중독 성 도 없 단다,fear
우리 나라 로 치 면 허각 이 당한 것 과 같 은 건가,fear
쿼터 프로 들 농구 점수 맞 냐,fear
아직 도 장관 직 에 있 나,fear
내 가 언제 똥 을 주워먹 었 나 ㅡㅡ,fear
장애 인 둘 이 대화 가 이어 나가 지나,fear
컨 택스 윙 해도 김태균 보단 훨씬 넘기 는데,fear
오 성무 를 죽이 는 건 말 도 안 되 는 억지,fear
한국 의 미네소타 트윈스,fear
좌 좀 손서 키 야 그게 어때서,fear
뭐 여 박근혜 구출 작전 이 냐,fear
삼적 화 가 기대 되 는 건 나 뿐 이 냐,fear
작품 가 가 만유 론 데 복원 금액 이 수백만 유로 배 보다 배꼽 이 더 크 네,fear
기사 내용 이 저거 밖에 없 어 ㅋㅋㅋ ㅋㅋ,fear
누가 업 뎃도 안 하 는데 누가 살 가요,fear
언제 통계 냈 냐,neutralism
깡패 가 따로 없 네 ㅋ,fear
경기 안 좋 은데 최고 수치 면 뭐 지,fear
비행기 탑승 은,fear
나 만 처음 듣 는 상 이름 이 네,fear
보 아 연기 했었 나,fear
진에어 는 정시 출발 율 도 높 고 대표 공항 들 지연 율 도 높 은데 어떻게 저럴 수 가 있 지,fear
기자 님 멕 시 코어 가 아니 라 스페인어 라고 하 는 게 맞 지 않 나요,fear
보다 보다 이런 꼴 은 평생 처음 이 다,fear
일반인 들 신검 하 면 어디 아프 다고 말 하 면 서류 때 오 라고 하 면서 찍소리 도 안 하 고 급 준다 ㅋㅋ ㅋㅋ,fear
전술 문제 야 아니 면 선수 들 문제 야,fear
얘 는 또 부 상당 한겨 ㅋ 부상 안 당한 날 이 없 구만,fear
표정 관리 좀 해라 축제 분위기 네,fear
차우찬 황재균 은 쟤 들 급 은 아닌데,fear
중국 산 만 터진 거 처럼 얘기 하 네,fear
솔직히 운전 이 어 렵냐ㅜㅡㅜ,fear
아니 전라도 욕 하 는 게 왜 지역 감정,fear
이렇게 무턱대고 시위 하 면서,fear
별 세 개 기업 도 부자 인데 왜 로켓 못 쏴,fear
산천어 가 살 지 도 않 는 화천 에서 산천어 축제 라니,fear
년 에 도 음란 소설 이 라고 벌금 받 은 건가,fear
마크제이콥스 본 땄 어,fear
이게 진정한 양성 평등 이 맞 는 건가,fear
진짜 뜬 금포,fear
황당 한 기획 과,fear
완전 전데,fear
올겨울 들 어 가장 추운 아침 을 맞 고 있 습니다,fear
왜 저 얘기 를 우리 빼놓 고 하 지,fear
경영 공백 우려 한 불 구속 이 라고,fear
용도 는 아닌데,fear
무어 라 할 말 이 없 네,fear
국회의원 이 라고,fear
불출석 했 으면서 자백 강요,fear
비교 할 사람 이랑 비교 를 해야지,fear
음 마광수 작품 은 음란 패설 이 담긴 책 이 고 참 을 수 없 는 존재 의 가벼움 은 명작 이 다,fear
증거 는,fear
일본 입장 에서 도 어이없 을 만 하 지 ㅋㅋㅋ,fear
스마트폰 화면 왼쪽 위 에 있 던 올레 이거 왜 kt 로 바뀜,fear
정부 관계자 는 마치 자 인 것 처럼 얘기 하 네,fear
연예대상 이 무한도전 공로상 인 것 처럼 말 하 네,fear
그러면 즐라탄 은,fear
이렇게 되 면 누군가 sbs 에 죽 을 때 까지 못 나오 는 거 아님 ㅋㅋ,fear
혹은 생각 처럼 안 될 수 있 는 거 아닌가,fear
진짜 허탈 하 네요,fear
나 만 그런가,fear
엥 여기 네이버 뉴스 맞 냐,fear
그럼 무슨 문제 될 게 있 나,fear
아직 애기 라 그런지 목소리 가 넘 앵앵 거려서 수지 목소리 가 원래 저랬 나 했 음,fear
좋 은 거 야 나쁜 거 야 ㅋ,fear
왜색 논란,fear
정부 랑 여 가 부가 게임 다 죽인 거 아닌가,fear
여러 카페 에 너무 많이 올라가 서 삭제 도 안 돼요 ㅠㅠ,fear
오늘 당장 저희 부모 님 께 말씀 드리 러 가 네요,fear
그럼 안 되 는데,fear
다 괜찮 은 거 같 은데 대 보험 이 없 다고 하 더라구요,fear
왜 이런 거 죠,fear
마법 의 기간 중 에 이런 적 은 처음 이 네요,fear
그렇 다고 매달린 적 도 없 는데,fear
왜 갑자기 궁금 해요,fear
도통 여성 스러운 게 뭘까,fear
바로 질 초음파 를 하 더라 고여,fear
어떻게 받아들여야 하 나요,fear
ㄷ ㄷ ㅠ 일요일 아침 만 맨날 이럼,fear
네 일설 전날 에 중국 에서 해 는데 지금 까지 안 지워짐,fear
남 들 은 다 아 는 애니 라서 그 애 니 에 대해 농담 도 하 고 그러 는데,fear
월급 은 어덯 게 줄까요,fear
어떻게 해야 토요일 오 전시 에 끝날 수 있 는 건가요,fear
우리 나라 의 현실 이 이렇게 심할 줄 은 몰랐 음,fear
근데 문제 가 저희 휴가증 체계 가 바꿔 어 가지 고,fear
아침 에 전화 가 왔 는데,fear
너 한테 실컷 욕했 는데,fear
저 는 받 지 않 았 는데요,fear
어쩌다가 베스트 되 었 네요 식구 들 한테 는 말 도 못하 고,fear
지난 주말 에 첫 키스 했 는데 빠른 건가요,fear
다른 회사 도 이런 가요,fear
아 슈 발 근데 학교 가 야 하나 용,fear
어느 게 정액 제고 그렇 다면 나머진 하난 뭐 죠,fear
전 여친 이 저 와 싸우 고 상 메 에 이렇게 써 놨는데 무슨 뜻 인가요,fear
되 는 건가요,fear
이렇게 하 는 게 정상 인가요,fear
제 가 이상 한 거 에요,fear
웃 자고 한 애기 에 죽 자고 달 라 드 는 상황 아닌가요 ㅎㅎ,fear
내 가 김제동 이 에요 ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋ,fear
세월 이 사람 을 아이돌 빠 로 만드 네요 ㅠ,fear
ㅎㅎ ㅎㅎ 나 근데 잠 와 ㅎ,fear
어떤 식 으로 해야 하 지,fear
이런 말 은 없 는 데 알 바 천국 나온 거 보 니 알 바 개념 도 될 듯 하 네요,fear
사진 을 도용 당 햇 어요,fear
어떻게 해야 할까요,fear
저 는 초등 학교 학년 이 고 제 가 학년 이 제 가 무섭 다는 소문 도 듣 고 날라리 라는 이야기 를 오늘 들 었 어요,fear
이럴 땐 또 어떡 해야 되 는지,fear
어떠 캄 자주 올 것 만 같 음,fear
그런 사람 들 의 심리 는 도대체 뭔 가요,fear
이게 무슨 말 이 죠,fear
연애 중 은 내렸 는데 친구 는 안 끊 네여,fear
사장 님 불러야 하나,fear
혼자 막 꽃단장 해서 간다거나,fear
어떻게 마무리 하 쥐,fear
ㅅ ㅄㅂ 이거 어 케 해야함,fear
사람 들 이 군인 들 은 제대 하 고 나 면 여자 친구 도 차 버린다고 하 던데,fear
체육 바지 같 은 게 없 는데 어떡 해야 할까요,fear
가운데 서 애매 해서 어찌 해야 할지 모르 겠 네요,fear
일 하 는 데 담배 안 핀다고 하 니까,fear
남친 이 오늘 따라 성욕 구이 넘치 나 봐요,fear
딸 은 유치원 에서 선생 님 께 욕했 다네요,fear
아 어떡 하 죠,fear
이런 생각 이나 할 텐데 자기 를 음란 하 게 생각 할 텐데 누가 자기 다리 쳐다보 는 건 싫 어 하 면서 짧 은 치마 는 왜 입 는 건지,fear
감정 이 앞서 서 빨리 잊 고 싶 다는 생각 듬 이런 거 는 뭐 죠,fear
제목 그대로 썸녀 라고 생각 한 친구 에게 어느 날 남자 친구 가 생기 면 어떨 꺼 같 아요,fear
뭘로 고를 지 요즘 넘 고 민이 예요 ㅎ,fear
이거 어 케 해야함,fear
요번 주 만 해도 여자 두 명 이랑 연락 햇 는데 친구 추천 에 두 명 다 떠서 당황,fear
이랬 는데 언니 가 안녕히 가 세요,fear
안녕 하 세요 방제 이탈 인지 몰 겠 네요 ^^,fear
지금 이 순간 너무 심심 한 게 고민 이 네요,fear
근데 그 여자 는 애 가 둘 이 있 네요,fear
언니 들 은 그런 상황 이 왔 을 때 상대방 한테 무슨 생각 이 들 어요,fear
논산 만 그러 나,fear
대체 왜 거기 서 그러 고 가 는 거 에요,fear
항상 면회 만 가 봤 지 외박 나와서 데이트 하 는 건 처음 이 라서 어디 를 가 얄 지 모르 겠 어요 ㅠㅠ,fear
그 덕 에 좋 아 하 는 분 까지 도 싫 어 하 는 줄 오해 받 은 상황,fear
아웅 ㅠ 둘 중 에 뭘로 하 져,fear
근데 막상 하 니까 또 잘 안 되 더라구요,fear
왜 이러 는 거 죠,fear
제 가 번호 물 어 봤 는데 얘기 하 다가 여자 분 아버지 분 이 신지 오 셔서 가 자고 하 더라구요,fear
아니야 정말 그런 의미 일 수 도 있 어 또 기대 하 게 되 고,fear
다른 손님 들 도 보 고 있 는데,fear
어리 지 도 많 지 도 않 은 애매 한 나이 인 것 같 아요,fear
누가 봐도 그 동생 이 좋 아 하 는 건데 자기 는 아니 라고 하 더라고요,fear
이번 방학 에 토스 해 보 려고 하 는데 요인 강 은 제 가 잘 할 수 있 을지 모르 겠 어요,fear
흠 뭐 라고 해야 할까 여,fear
라고 말씀 드리 면 될까요,fear
만약 제 가 먼저 편지 를 보내 면 걔 는 어떻게 생각 할까요,fear
관장 할 때 아프 다는 분 들 이 있 던데 어떡 해 하 길래 아파요,fear
근데 내 가 이거 나오 냐고 카메라 를 들어갈 라다 가 실수 로 게임 을 눌림,fear
일 주일 에 한 번 씩 전화 오 다가 이틀 에 한 번 씩 올 때 도 있 구 여,fear
다른 게 아니 라 제 가 이상 한 건지 해서 요,fear
물 어 줘야 하나 영 엉엉,fear
아직 회사 에 아가 있 다고 말 도 못했 는데 ㅜ잉 ㅠㅠ,fear
프로필 사진 에 는 아랍인 처럼 안 생겼 던데,fear
주차장 상태 상 시야 확보 가 되 질 않 아서,fear
여태 까지 많 은 회사 를 다녔 어도 정상인 인 과장 님 을 찾 기 란 어려웠 음,fear
참 혼란 스럽 달까 요,fear
그런데 집 에서 는 자꾸 월급 이 얼만지 얼마나 모았 는지 를 물 어 보 라는데,fear
카톡 차단 풀린 줄 알 고 전화 했 는데 여전히 차단 이 네요,fear
자기 가 일 못 하 고 있 는 것 도 제 탓 이 라고 하 고 가 버리 네요,fear
오늘 대뜸 전화 오 더니만 니 통장 이 잘못 됬 다,fear
웨이트 열심히 하 는 여자 이상 한가요,fear
여태 까지 의 당신 의 선택 이 당신 을 다시 태어난 것 처럼 힘 솟 게 했 나요,fear
이거 외 엔 기억 이 안 나 네요,fear
자긴 결혼 을 못 할 거 라며 부모 님 도움 받 지 않 을 거 라던 사람 이 무슨 사정 이 있 는지 는 모르 겠 지만,fear
아니 근데 신입 인 거 알 고 연락 을 줬 을 텐데,fear
운동 하 는 데 단백질 섭취 때문 에 먹 어 보 려 하 는데 별루 인가요,fear
처음 보 는 닉 밖에 없 음 ㅇㅇ어쩌죠,fear
월 에 수료식 인데 엄마 생신 이랑 겹쳤 어요 ㅠ,fear
군대 가 기 전 까지 는 진짜 아무 일 없이 친구 사이 였 다가 도 군대 가 고 나 면 너무 외로워서 그 친구 가 여자 로 보이 고 좋 게,fear
모임 에서 번호 따가 놓 고 전화 도 많이 하 고 카톡 도 많이 하 고 그러 더니 다시 만나 고 연락 없 는 건 뭘까,fear
다른 분 들 은,fear
또 안 없 어 지 니까 또 하 더라구요,fear
망설여 지 네요,fear
아니 썸 타 던 남자 애 한테 정말 맘먹 고 고백 했 는데 뭐 자기 혼란 스럽 다,fear
친구 가 정신병 같 다고 병원 가 라는 데 진심 이 게 병원 갈 정도 인가 여,fear
나 에 대한 내 신상 를 캐묻 지 않 나,fear
애기 들 이 좋 아 하 는 맛 은 아니 였 어요 ㅋㅋㅋ,fear
인치 인가 인치 인가 그렇 더군요,fear
원래 야간 알 바 들 이런 가요,fear
그래서 여기 서 말 한 거 와 달리 엄청 쳐다보 기 도 했 다,fear
근데 남자 친구 가 집 이 잘사 는 것 도 아니 고,fear
아 제 가 너무 변태 같 네여 ㅠㅠ,fear
아무것 두 아니 고,fear
이렇게 우유부단 해서 연애 는 어떻 게 할지 모르 겠 어요 ㅠㅠ,fear
남자 친구 가 어디 든지 놀 러 가 고 싶 다구 그래서 요,fear
감정 에 휘둘리 다니,fear
이렇게 얘기 하 는 데 남자 친구 는 너 네 엄마 가 뭐 뭐 하 겠 다 이렇게 얘길 하 더라구요,fear
근데 생각 해 보 니 정말로 면접 만 보 러 다니 는 것 만 해도,fear
그래서 잘 치 는 건지,fear
신인 개그맨 이상 이 되 어야 가능 한가 보 네요,fear
